,Artist,Song,Capo,Memorized,Notes,Recording,Chords,Key
,Fugees,Killing Me Softly,,,,,KILLING ME SOFTLY CHORDS by Fugees @ Ultimate-Guitar.Com,
,Garbage,Only Happy When It Rains,,,,,ONLY HAPPY WHEN IT RAINS CHORDS by Garbage @ Ultimate-Guitar.Com,
,Garth Brooks,Friends In Low Places,,,,,https://tabs.ultimate-guitar.com/tab/garth-brooks/friends-in-low-places-chords-1087784,
,Gin Blossoms,Hey Jealousy,,,,,HEY JEALOUSY CHORDS (ver 2) by Gin Blossoms @ Ultimate-Guitar.Com,
,Gnarles Barkley,Crazy,,,,,https://tabs.ultimate-guitar.com/tab/gnarls-barkley/crazy-chords-377909,
,Green Day,Basket Case,,,,,https://tabs.ultimate-guitar.com/tab/green-day/basket-case-chords-955966,
,Green Day,Boulevard of Broken Dreams,,,,,BOULEVARD OF BROKEN DREAMS CHORDS (ver 3) by Green Day @ Ultimate-Guitar.Com,
,Green Day,Brain Stew,,,,,BRAIN STEW CHORDS (ver 2) by Green Day @ Ultimate-Guitar.Com,
,Harry McClintock,Big Rock Candy Mountain,,,,,,
,Indigo De Souza,Hold U,,,,https://drive.google.com/file/d/12dJ3RSUsGChHU8T6y2d8xDGX7fLoXD8x/view?usp=sharing,HOLD U CHORDS by Indigo De Souza @ Ultimate-Guitar.Com,
,Ingrid Michaelson,The Way I Am,,,,,,
,Jace Everett,Bad Things (I wanna do bad things with you),,,,,,
,Jack Johnson,Flake (Let It Go),,,,,FLAKE CHORDS (ver 6) by Jack Johnson @ Ultimate-Guitar.Com,
,Janice Joplin,Bobby McGee,,,,,,
,Janice Joplin,Mercedes Benz,c2,,,,,
,Jeff Buckley,Hallelujah,,,,,,
,Jefferson Airplane,Somebody To Love,,,,,https://tabs.ultimate-guitar.com/tab/jefferson-airplane/somebody-to-love-chords-1874825,
,Jefferson Airplane,White Rabbit,,,,,WHITE RABBIT CHORDS by Jefferson Airplane @ Ultimate-Guitar.Com,
,Jenny O ,All My Wishes,,,,,,
,Jewel,You Were Meant For Me,,,,:35 ~90% there ,YOU WERE MEANT FOR ME CHORDS by Jewel @ Ultimate-Guitar.Com,
,John Prine,Hello In There,,,"old recording, current chords say c5, maybe better",c3,,
,Johnny Cash,Ring of Fire,,,,,RING OF FIRE CHORDS by Johnny Cash @ Ultimate-Guitar.Com,
,Johnny Cash,You Are My Sunshine,,,,,,
,Juno Soundtrack,All I Want Is You,,,,,,
,LCD Soundsytem,Never As Tired As When I'm Waking Up,,,,,,
,LCD Soundsytem,Oh Baby,,,,,OH BABY CHORDS by LCD Soundsystem @ Ultimate-Guitar.Com,
,Leonard Cohen,Chelsea Hotel,,,,,CHELSEA HOTEL NO 2 CHORDS (ver 2) by Leonard Cohen @ Ultimate-Guitar.Com,
,Leonard Cohen,"So Long, Marianne",,,,,SO LONG MARIANNE CHORDS by Leonard Cohen @ Ultimate-Guitar.Com,
,Leonard Cohen,Suzanne,,,,,SUZANNE CHORDS by Leonard Cohen @ Ultimate-Guitar.Com,
,Linda Ronstadt,Could I Have This Dance,,,kinda did my own arrangement when dad said this was a possilble song for his wedding and I don't really know the song,,,
,Lit ,My Own Worst Enemy,c2,Y,bumped up from c0,pofc,MY OWN WORST ENEMY CHORDS (ver 3) by Lit @ Ultimate-Guitar.Com,
,"Little Mermaid, The",Part of That World,,,,,THE LITTLE MERMAID - PART OF YOUR WORLD CHORDS (ver 2) by Misc Cartoons @ Ultimate-Guitar.Com,
,Live,All Over You,,,,,ALL OVER YOU CHORDS by Live @ Ultimate-Guitar.Com,
